issuerTradingSymbol,date,close
NRG,2023-02-06,34.68
NRG,2023-02-07,35.01
NRG,2023-02-08,34.79
NRG,2023-02-09,34.39
NRG,2023-02-10,34.86
NRG,2023-02-13,35.56
NRG,2023-02-14,35.1
NRG,2023-02-15,35.83
NRG,2023-02-16,34.08
NRG,2023-02-17,34.22
NRG,2023-02-21,34.06
NRG,2023-02-22,33.15
NRG,2023-02-23,33.51
NRG,2023-02-24,33.6
NRG,2023-02-27,33.02
NRG,2023-02-28,32.79
NRG,2023-03-01,33.02
NRG,2023-03-02,32.75
NRG,2023-03-03,33.64
NRG,2023-03-06,34.38
NRG,2023-03-07,34.28
NRG,2023-03-08,33.93
NRG,2023-03-09,33.01
NRG,2023-03-10,31.63
NRG,2023-03-13,30.88
NRG,2023-03-14,31.58
NRG,2023-03-15,30.82
NRG,2023-03-16,31.61
NRG,2023-03-17,31.48
NRG,2023-03-20,33.63
NRG,2023-03-21,33.19
NRG,2023-03-22,31.96
NRG,2023-03-23,31.01
NRG,2023-03-24,31.49
NRG,2023-03-27,32.26
NRG,2023-03-28,32.64
NRG,2023-03-29,33.18
NRG,2023-03-30,33.45
NRG,2023-03-31,34.29
NRG,2023-04-03,33.87
NRG,2023-04-04,33.55
NRG,2023-04-05,34.41
NRG,2023-04-06,34.82
NRG,2023-04-10,35.18
NRG,2023-04-11,35.68
NRG,2023-04-12,35.76
NRG,2023-04-13,35.91
NRG,2023-04-14,35.21
NRG,2023-04-17,35.11
NRG,2023-04-18,34.66
NRG,2023-04-19,34.84
NRG,2023-04-20,34.57
NRG,2023-04-21,34.4
NRG,2023-04-24,35.0
NRG,2023-04-25,34.06
NRG,2023-04-26,33.4
NRG,2023-04-27,34.07
NRG,2023-04-28,34.17
NRG,2023-05-01,34.0
NRG,2023-05-02,33.33
NRG,2023-05-03,33.44
NRG,2023-05-04,31.38
NRG,2023-05-05,31.28
NRG,2023-05-08,31.31
NRG,2023-05-09,31.3
NRG,2023-05-10,32.15
NRG,2023-05-11,31.04
NRG,2023-05-12,32.79
NRG,2023-05-15,33.78
NRG,2023-05-16,33.51
NRG,2023-05-17,33.41
NRG,2023-05-18,33.46
NRG,2023-05-19,33.49
NRG,2023-05-22,34.03
NRG,2023-05-23,33.81
NRG,2023-05-24,33.99
NRG,2023-05-25,33.46
NRG,2023-05-26,33.94
NRG,2023-05-30,34.05
NRG,2023-05-31,33.79
NRG,2023-06-01,32.4
NRG,2023-06-02,33.3
NRG,2023-06-05,33.12
NRG,2023-06-06,32.94
NRG,2023-06-07,34.07
NRG,2023-06-08,33.95
NRG,2023-06-09,34.08
NRG,2023-06-12,34.28
NRG,2023-06-13,34.35
NRG,2023-06-14,34.34
NRG,2023-06-15,34.37
NRG,2023-06-16,34.12
NRG,2023-06-20,33.52
NRG,2023-06-21,33.88
NRG,2023-06-22,34.92
NRG,2023-06-23,34.69
NRG,2023-06-26,35.91
NRG,2023-06-27,36.59
NRG,2023-06-28,36.56
NRG,2023-06-29,37.17
NRG,2023-06-30,37.39
NRG,2023-07-03,37.62
NRG,2023-07-05,38.35
NRG,2023-07-06,37.8
NRG,2023-07-07,38.12
NRG,2023-07-10,37.83
NRG,2023-07-11,37.99
NRG,2023-07-12,37.9
NRG,2023-07-13,37.27
NRG,2023-07-14,36.45
NRG,2023-07-17,36.35
NRG,2023-07-18,36.96
NRG,2023-07-19,38.0
NRG,2023-07-20,38.71
NRG,2023-07-21,38.2
NRG,2023-07-24,37.88
NRG,2023-07-25,38.35
NRG,2023-07-26,38.5
NRG,2023-07-27,37.32
NRG,2023-07-28,37.71
